date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,source
2025-07-29,65.05416666666666,64.61666666666666,2274.3333333333335,60.22083333333333,38.0875,59.0,0.6529166666666667,0.0,1.6624999999999999,160.95833333333334,101.20833333333333,
2025-07-30,65.6375,64.8875,2069.5,56.84583333333333,39.675000000000004,76.25,0.79,0.125,1.5625,154.95833333333334,89.33333333333333,
2025-07-31,62.44583333333333,61.833333333333336,1727.8333333333333,62.4625,42.6625,72.04166666666667,0.6079166666666667,0.0,1.741666666666667,154.375,91.04166666666667,
2025-08-01,85.8875,85.30416666666666,1310.8333333333333,67.80833333333334,43.5,81.91666666666667,0.50375,0.25,1.95625,164.45833333333334,103.41666666666667,
2025-08-02,86.29166666666667,85.79166666666667,1480.2916666666667,63.65833333333333,43.59583333333333,91.20833333333333,0.4275,0.0,2.125,170.5,108.33333333333333,
2025-08-03,93.57916666666667,93.28333333333335,1786.2916666666667,75.25,50.25,77.0,0.5766666666666667,0.0,1.5687499999999999,166.29166666666666,109.16666666666667,
2025-08-04,97.425,97.3,2478.9583333333335,73.075,52.49583333333334,99.70833333333333,0.8966666666666666,0.0,1.6708333333333334,178.125,116.29166666666667,
2025-08-05,102.7,102.59583333333335,2993.8333333333335,80.85000000000001,51.395833333333336,85.04166666666667,0.9341666666666667,0.0,1.3833333333333335,175.625,120.20833333333333,
2025-08-06,111.075,110.93333333333334,2000.75,86.0625,51.89166666666667,110.375,0.76625,0.0,1.79375,188.08333333333334,122.20833333333333,
2025-08-07,115.0125,114.125,2005.8333333333333,85.25833333333334,47.20416666666667,85.66666666666667,0.9679166666666666,1.0,1.5229166666666665,183.04166666666666,132.45833333333334,
2025-08-08,108.77499999999999,107.925,1650.9583333333333,83.00833333333334,50.041666666666664,83.5,1.0670833333333334,0.75,1.4208333333333334,182.625,130.79166666666666,
2025-08-09,71.17916666666666,70.87916666666666,1809.5416666666667,63.125,45.68333333333334,97.16666666666667,1.1191666666666666,0.0,1.4458333333333335,170.41666666666666,107.375,
2025-08-10,77.05416666666666,76.7375,2322.5416666666665,65.20833333333333,42.170833333333334,92.375,0.8820833333333334,0.0,1.71875,163.33333333333334,95.375,
2025-08-11,93.55,93.3,2370.875,71.55,51.762499999999996,100.08333333333333,1.2070833333333333,0.0,1.3104166666666666,175.45833333333334,115.20833333333333,
2025-08-12,84.03333333333333,83.93333333333334,3523.4583333333335,83.39166666666667,52.375,62.541666666666664,1.01125,0.0,0.9458333333333333,163.75,105.20833333333333,
2025-08-13,83.19166666666666,82.90416666666667,3247.75,73.14583333333333,47.71666666666667,77.25,0.8679166666666668,0.0,1.4666666666666668,169.33333333333334,113.79166666666667,
2025-08-14,81.51666666666667,81.19166666666666,3369.1666666666665,71.39999999999999,50.15416666666667,83.83333333333333,0.82875,0.0,0.9104166666666668,161.25,100.91666666666667,
2025-08-15,90.71249999999999,89.74166666666667,4132.458333333333,73.26666666666667,47.52916666666667,91.75,0.5966666666666667,0.0,2.129166666666667,171.54166666666666,105.79166666666667,
2025-08-16,89.61666666666667,88.59166666666665,2499.8333333333335,65.6125,42.358333333333334,83.125,0.5545833333333333,0.0,2.1458333333333335,174.79166666666666,119.54166666666667,
2025-08-17,76.09166666666667,75.31666666666666,1356.8333333333333,55.90833333333333,38.958333333333336,85.0,0.47458333333333336,0.0,2.064583333333333,162.08333333333334,102.83333333333333,
2025-08-18,72.35416666666667,71.625,1450.1666666666667,56.979166666666664,39.270833333333336,66.95833333333333,0.4370833333333333,0.0,1.6208333333333333,160.5,100.375,
2025-08-19,82.77916666666667,82.25416666666666,3388.75,75.08333333333333,53.30833333333334,33.375,0.5266666666666667,0.0,0.7333333333333334,159.5,98.79166666666667,
